start_time,end_time,alternatives,type
86.44,86.72,"[{'confidence': '0.9065', 'content': 'No'}]",pronunciation
86.72,87.15,"[{'confidence': '0.6804', 'content': 'oncoming'}]",pronunciation
87.15,87.76,"[{'confidence': '0.9995', 'content': 'cars'}]",pronunciation
,,"[{'confidence': '0.0', 'content': '.'}]",punctuation
100.34,100.55,"[{'confidence': '0.999', 'content': 'The'}]",pronunciation
100.55,100.98,"[{'confidence': '0.9906', 'content': 'car'}]",pronunciation
100.98,101.27,"[{'confidence': '0.9958', 'content': 'doing'}]",pronunciation
101.27,101.32,"[{'confidence': '0.9908', 'content': 'a'}]",pronunciation
101.32,101.56,"[{'confidence': '1.0', 'content': 'three'}]",pronunciation
101.56,101.87,"[{'confidence': '1.0', 'content': 'point'}]",pronunciation
101.88,102.46,"[{'confidence': '0.9916', 'content': 'turn'}]",pronunciation
,,"[{'confidence': '0.0', 'content': '.'}]",punctuation
106.64,106.85,"[{'confidence': '0.769', 'content': 'Mhm'}]",pronunciation
,,"[{'confidence': '0.0', 'content': '!'}]",punctuation
109.94,110.15,"[{'confidence': '0.7802', 'content': 'Mhm'}]",pronunciation
,,"[{'confidence': '0.0', 'content': ','}]",punctuation
115.34,115.54,"[{'confidence': '0.921', 'content': 'yeah'}]",pronunciation
,,"[{'confidence': '0.0', 'content': '.'}]",punctuation
